iter	Passed	Remaining
0	168	168644
1	174	86843
2	180	60112
3	188	46912
4	194	38614
5	201	33344
6	213	30253
7	220	27370
8	229	25256
9	235	23302
10	241	21684
11	249	20574
12	261	19841
13	263	18571
14	267	17565
15	272	16754
16	277	16049
17	291	15895
18	302	15596
19	310	15221
20	336	15692
21	357	15900
22	373	15877
23	381	15520
24	383	14966
25	385	14458
26	388	13989
27	390	13562
28	412	13824
29	415	13432
30	417	13060
31	420	12711
32	422	12383
33	427	12153
34	430	11862
35	432	11591
36	434	11321
37	437	11074
38	443	10930
39	445	10697
40	448	10483
41	450	10283
42	452	10081
43	458	9955
44	460	9771
45	463	9604
46	477	9687
47	495	9824
48	498	9681
49	526	9997
50	532	9900
51	538	9816
52	585	10466
53	596	10442
54	601	10341
55	604	10185
56	612	10135
57	614	9986
58	617	9846
59	619	9706
60	631	9722
61	633	9591
62	636	9462
63	642	9391
64	644	9267
65	646	9154
66	649	9039
67	650	8912
68	654	8827
69	656	8726
70	659	8624
71	661	8525
72	663	8429
73	666	8334
74	669	8259
75	671	8169
76	674	8080
77	676	7994
78	678	7913
79	681	7833
80	684	7761
81	686	7685
82	689	7614
83	691	7542
84	693	7465
85	695	7394
86	697	7317
87	699	7253
88	702	7187
89	704	7121
90	706	7060
91	709	6998
92	711	6941
93	714	6890
94	716	6830
95	719	6774
96	721	6720
97	724	6668
98	727	6617
99	729	6566
100	731	6511
101	732	6450
102	734	6399
103	736	6348
104	739	6301
105	741	6256
106	744	6213
107	746	6167
108	748	6121
109	751	6076
110	753	6034
111	755	5990
112	758	5951
113	760	5908
114	762	5866
115	764	5823
116	766	5785
117	768	5745
118	770	5703
119	772	5668
120	775	5630
121	777	5593
122	778	5549
123	780	5514
124	782	5477
125	784	5442
126	786	5407
127	788	5369
128	790	5335
129	792	5303
130	794	5272
131	796	5240
132	798	5208
133	801	5176
134	809	5187
135	811	5157
136	813	5127
137	815	5094
138	818	5067
139	820	5038
140	822	5011
141	824	4983
142	826	4954
143	828	4927
144	831	4901
145	833	4876
146	835	4850
147	838	4825
148	840	4802
149	843	4777
150	845	4751
151	847	4728
152	849	4704
153	851	4679
154	854	4655
155	856	4632
156	858	4608
157	860	4585
158	866	4584
159	869	4564
160	871	4542
161	873	4519
162	875	4497
163	878	4477
164	880	4455
165	883	4437
166	885	4418
167	888	4399
168	890	4379
169	893	4360
170	895	4340
171	897	4321
172	899	4301
173	901	4281
174	903	4261
175	906	4241
176	908	4224
177	910	4205
178	913	4188
179	915	4170
180	916	4146
181	918	4129
182	921	4112
183	923	4094
184	925	4077
185	928	4061
186	930	4044
187	932	4028
188	934	4011
189	937	3995
190	939	3978
191	945	3978
192	950	3972
193	952	3956
194	954	3939
195	957	3925
196	959	3910
197	961	3895
198	964	3880
199	966	3864
200	968	3849
201	970	3834
202	973	3823
203	980	3826
204	983	3813
205	985	3799
206	992	3802
207	998	3800
208	1018	3854
209	1051	3955
210	1076	4024
211	1090	4054
212	1095	4047
213	1106	4065
214	1109	4049
215	1113	4042
216	1125	4060
217	1133	4067
218	1138	4059
219	1140	4044
220	1143	4030
221	1145	4013
222	1149	4006
223	1152	3991
224	1154	3975
225	1156	3960
226	1159	3946
227	1161	3931
228	1165	3924
229	1167	3910
230	1170	3896
231	1172	3882
232	1174	3867
233	1177	3853
234	1182	3850
235	1184	3836
236	1187	3822
237	1189	3808
238	1191	3794
239	1201	3804
240	1203	3790
241	1205	3777
242	1208	3765
243	1213	3759
244	1215	3746
245	1217	3732
246	1219	3719
247	1222	3707
248	1224	3693
249	1227	3683
250	1229	3670
251	1232	3657
252	1237	3652
253	1242	3648
254	1244	3635
255	1246	3622
256	1249	3611
257	1251	3598
258	1255	3593
259	1258	3580
260	1260	3568
261	1262	3557
262	1265	3545
263	1267	3533
264	1272	3528
265	1274	3516
266	1276	3504
267	1279	3493
268	1281	3481
269	1283	3469
270	1287	3464
271	1290	3453
272	1294	3446
273	1297	3438
274	1304	3437
275	1308	3433
276	1310	3421
277	1312	3409
278	1317	3405
279	1320	3394
280	1322	3383
281	1324	3372
282	1326	3361
283	1329	3351
284	1334	3348
285	1336	3337
286	1338	3326
287	1341	3315
288	1343	3304
289	1345	3295
290	1350	3290
291	1352	3280
292	1355	3269
293	1357	3260
294	1361	3253
295	1364	3244
296	1366	3234
297	1368	3224
298	1370	3214
299	1373	3204
300	1378	3200
301	1380	3190
302	1382	3180
303	1385	3171
304	1387	3161
305	1389	3152
306	1392	3143
307	1394	3134
308	1396	3123
309	1399	3115
310	1401	3105
311	1406	3100
312	1408	3091
313	1410	3081
